2026-07-28 15:28:25 | INFO | preparation_pipeline.py | Line:45 | Data Preparation completed successfully.
2026-07-28 15:28:25 | INFO | preparation_pipeline.py | Line:37 | Starting Data Preparation Pipeline...
2026-07-28 15:28:25 | INFO | data_splitter.py | Line:35 | Starting engine-based train/validation split...
2026-07-28 15:28:25 | INFO | data_splitter.py | Line:67 | Train Engines: 8 | Validation Engines: 2
2026-07-28 15:28:25 | INFO | data_splitter.py | Line:72 | Data splitting completed successfully.
2026-07-28 15:28:25 | INFO | feature_selector.py | Line:29 | Starting Feature Selection...
2026-07-28 15:28:25 | INFO | feature_selector.py | Line:40 | Feature Selection completed successfully.
2026-07-28 15:28:25 | INFO | feature_selector.py | Line:29 | Starting Feature Selection...
2026-07-28 15:28:25 | INFO | feature_selector.py | Line:40 | Feature Selection completed successfully.
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:33 | Fitting Feature Scaler...
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:37 | Feature Scaler fitted successfully.
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:44 | Transforming features...
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:60 | Feature transformation completed.
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:44 | Transforming features...
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:60 | Feature transformation completed.
2026-07-28 15:28:25 | INFO | preparation_pipeline.py | Line:45 | Data Preparation completed successfully.
2026-07-28 15:28:25 | INFO | preparation_pipeline.py | Line:37 | Starting Data Preparation Pipeline...
2026-07-28 15:28:25 | INFO | data_splitter.py | Line:35 | Starting engine-based train/validation split...
2026-07-28 15:28:25 | INFO | data_splitter.py | Line:67 | Train Engines: 8 | Validation Engines: 2
2026-07-28 15:28:25 | INFO | data_splitter.py | Line:72 | Data splitting completed successfully.
2026-07-28 15:28:25 | INFO | feature_selector.py | Line:29 | Starting Feature Selection...
2026-07-28 15:28:25 | INFO | feature_selector.py | Line:40 | Feature Selection completed successfully.
2026-07-28 15:28:25 | INFO | feature_selector.py | Line:29 | Starting Feature Selection...
2026-07-28 15:28:25 | INFO | feature_selector.py | Line:40 | Feature Selection completed successfully.
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:33 | Fitting Feature Scaler...
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:37 | Feature Scaler fitted successfully.
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:44 | Transforming features...
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:60 | Feature transformation completed.
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:44 | Transforming features...
2026-07-28 15:28:25 | INFO | feature_scaler.py | Line:60 | Feature transformation completed.
